"ain","address","useType","taxStatus","yearBuilt","beds","baths","bldg","lot","assessed","lastBuyRec","lastBuyPrice","hasFcHist"
"8448-020-036",",","Vacant Land","CURRENT",,,,,,"0","08/30/1988","385000","False"
"8448-020-037",",","Vacant Land","CURRENT",,,,,,"0",,,"False"
"8448-020-038","1263 CALLE CECELIA, SAN DIMAS CA","Single Family Residence","CURRENT",,,,,,"0",,,"False"
"8448-020-039","1257 CALLE CECILIA, SAN DIMAS CA 91773-4435","Single Family Residence","CURRENT","1984","3","3","1998","8180","382972",,,"False"
"8448-020-040","1251 CALLE CECILIA, SAN DIMAS CA 91773-4435","Single Family Residence","CURRENT","1984","4","3","2828","7945","732230","12/04/2001","480004","False"
"8448-020-041","1245 CALLE CECILIA, SAN DIMAS CA 91773-4435","Single Family Residence","CURRENT","1984","4","3","2419","8439","466738",,,"False"
"8448-020-042","1248 CALLE CECILIA, SAN DIMAS CA 91773-4434","Single Family Residence","CURRENT","1984","4","3","2828","8764","823271","04/29/2011","655006","False"
"8448-020-043","1254 CALLE CECILIA, SAN DIMAS CA 91773-4434","Single Family Residence","CURRENT","1984","4","3","2226","9291","540697","12/15/1997","332003","False"
"8448-020-044","1260 CALLE CECILIA, SAN DIMAS CA 91773-4434","Single Family Residence","CURRENT","1984","4","3","2419","8806","447873","07/28/1985","200002","False"
"8448-020-045","1266 CALLE CECILIA, SAN DIMAS CA 91773-4434","Single Family Residence","CURRENT","1984","4","3","2226","8799","1068194","04/28/2021","967509","False"
"8448-020-046","1272 CALLE CECELIA, SAN DIMAS CA 91773-0000","Single Family Residence","CURRENT",,,,,,"0","10/26/1987","315500","False"
"8448-020-047",",","Vacant Land","CURRENT",,,,,,"0","10/26/1987","315500","False"
"8448-020-048","1278 CALLE CECILIA, SAN DIMAS CA 91773-4434","Single Family Residence","CURRENT","1984","4","3","2489","12339","774733",,,"False"
"8448-020-049",",","Vacant Land","CURRENT",,,,,"8248","9","10/19/1984","4142541","False"
"8448-020-050",",","Vacant Land","CURRENT",,,,,"171896","9",,,"False"
"8448-020-051","1178 PASEO REGINA, SAN DIMAS CA","Single Family Residence","CURRENT",,,,,,"0","11/30/1987","270000","False"
"8448-020-052","1178 PASEO REGINA, SAN DIMAS CA","Single Family Residence","CURRENT",,,,,,"0","11/30/1987","270000","False"
"8448-020-053","1184 PASEO REGINA, SAN DIMAS CA 91773-4441","Single Family Residence","CURRENT","1985","4","3","2142","8593","1037831","02/26/2021","940009","False"
"8448-020-054","1190 PASEO REGINA, SAN DIMAS CA 91773-4441","Single Family Residence","CURRENT","1985","4","3","2243","9520","394200","10/30/1987","248002","False"
"8448-020-055","1196 PASEO REGINA, SAN DIMAS CA 91773-4441","Single Family Residence","CURRENT","1985","4","2","1897","11947","468064","01/21/1994","270002","False"
"8448-020-056",",","Vacant Land","CURRENT",,,,,"60971","9",,,"False"
"8448-020-057",",","Vacant Land","CURRENT",,,,,"44440","9",,,"False"
"8448-020-058",",","Vacant Land","CURRENT",,,,,"6438","9","10/19/1984","4142541","False"
"8448-020-059",",","Vacant Land","CURRENT",,,,,"5564","9","10/19/1984","4142541","False"
"8448-020-060",",","Vacant Land","CURRENT",,,,,,"0",,,"False"
"8448-020-061",",","Vacant Land","CURRENT",,,,,,"0",,,"False"
"8448-020-062","1175 VIA VERDE, SAN DIMAS CA 91773-4428","Institutional","CURRENT","1989","0","6","6206","33933","2041094","09/26/2014","1700017","False"
"8448-020-063",",","Vacant Land","CURRENT",,,,,"1491","42900","09/26/2014","1700017","False"
"8448-020-064","1175 VIA VERDE, SAN DIMAS CA","Institutional","CURRENT",,,,,,"0",,,"False"
"8448-020-065",",","Vacant Land","CURRENT",,,,,,"0",,,"False"
"8448-020-066","1175 VIA VERDE, SAN DIMAS CA","Institutional","CURRENT",,,,,,"0",,,"False"
"8448-020-067",",","Vacant Land","CURRENT",,,,,"4415","113781","08/01/2018","1100000","False"
"8448-020-068",",","Vacant Land","CURRENT",,,,,,"0",,,"False"
"8448-020-069","1136 PUENTE ST, SAN DIMAS CA 91773-2931","Vacant Land","CURRENT",,,,,"42403","0","02/07/2014","1404000","True"
"8448-020-070","1148 PUENTE ST, SAN DIMAS CA 91773-2931","Vacant Land","CURRENT",,,,,"35687","0","02/07/2014","1404000","True"
"8448-020-071","1291 PASEO ALICIA, SAN DIMAS CA 91773-4407","Single Family Residence","CURRENT","1984","4","3","2419","8865","667719","07/09/2002","452004","False"
"8448-020-072","1263 CALLE CECILIA, SAN DIMAS CA 91773-4435","Single Family Residence","CURRENT","1984","3","2","1934","7999","343853","01/29/2025","1067500","False"
"8448-020-073","1178 PASEO REGINA, SAN DIMAS CA 91773-4441","Single Family Residence","CURRENT","1985","4","3","2656","12093","1201200","03/29/2018","1035010","False"
