ain,address,useType,assessed,yearBuilt,beds,baths,bldg,lot,taxStatus
8448-006-042,"1888 RANCHO TUJUNGA DR, COVINA CA 91724-3545",Single Family Residence,847220,1967,3,2,2037,18851,CURRENT
8448-006-043,"1882 RANCHO TUJUNGA DR, COVINA CA 91724-3545",Single Family Residence,1066185,1967,4,2,3050,19687,CURRENT
8448-006-044,"1870 RANCHO TUJUNGA DR, COVINA CA 91724-3545",Single Family Residence,1336927,1967,5,5,6229,17315,CURRENT
8448-006-045,"1856 RANCHO TUJUNGA DR, COVINA CA 91724-3545",Single Family Residence,161726,1968,3,2,2069,19531,CURRENT
8448-006-046,"1844 RANCHO TUJUNGA DR, COVINA CA 91724-3545",Single Family Residence,1474246,1973,6,3,2948,19411,CURRENT
8448-006-047,"1826 RANCHO TUJUNGA DR, COVINA CA 91724-3545",Single Family Residence,1051927,1969,4,3,3051,18851,CURRENT
8448-006-048,"1816 RANCHO TUJUNGA DR, COVINA CA 91724-3545",Single Family Residence,877969,1969,4,2,2150,17587,CURRENT
8448-006-049,"590 N JALAPA DR, COVINA CA 91724-3501",Single Family Residence,644916,1970,3,2,2039,16620,CURRENT
8448-006-050,"604 N JALAPA DR, COVINA CA 91724-3504",Single Family Residence,483227,1965,4,3,2578,18259,CURRENT
8448-006-051,"620 N JALAPA DR, COVINA CA 91724-3504",Single Family Residence,463301,1965,4,3,2440,20219,CURRENT
8448-006-052,"636 N JALAPA DR, COVINA CA 91724-3504",Single Family Residence,468935,1965,3,2,1792,20623,CURRENT
8448-006-053,"650 N JALAPA DR, COVINA CA 91724-3504",Single Family Residence,1372521,1975,4,2,2332,20235,CURRENT
8448-006-054,"660 N JALAPA DR, COVINA CA 91724-3504",Single Family Residence,887501,1965,4,3,2758,36185,CURRENT
8448-006-055,"559 RANCHO LOS NOGALES DR, COVINA CA 91724-3374",Single Family Residence,1479742,1968,4,3,3396,39410,CURRENT
8448-006-056,"1883 RANCHO TUJUNGA DR, COVINA CA 91724-3546",Single Family Residence,0,1968,4,3,2470,,CURRENT
8448-006-057,"1875 RANCHO TUJUNGA DR, COVINA CA 91724-3546",Single Family Residence,658918,1972,4,4,6117,25778,CURRENT
8448-006-058,"1883 RANCHO TUJUNGA DR, COVINA CA 91724-3546",Single Family Residence,715465,1968,4,3,2470,20015,CURRENT
8448-027-020,",",Vacant Land,0,,,,,,CURRENT
8448-027-021,",",Vacant Land,0,,,,,,CURRENT
8448-027-022,",",Vacant Land,0,,,,,,CURRENT
8448-027-023,",",Vacant Land,0,,,,,,CURRENT
8448-027-024,",",Vacant Land,0,,,,,152244,CURRENT
8448-027-025,",",Vacant Land,9,,,,,127298,CURRENT
8448-027-026,",",Vacant Land,0,,,,,,CURRENT
8448-027-027,",",Vacant Land,0,,,,,,CURRENT
8448-027-028,",",Vacant Land,0,,,,,,CURRENT
8448-027-029,",",Vacant Land,0,,,,,,CURRENT
8448-027-030,",",Vacant Land,0,,,,,,CURRENT
8448-027-031,",",Vacant Land,9,,,,,4025,CURRENT
8448-027-032,",",Vacant Land,0,,,,,,CURRENT
8448-027-033,",",Vacant Land,0,,,,,,CURRENT
8448-027-034,",",Vacant Land,3,,,,,149947,CURRENT
8448-027-035,"1111 CAMINO DEL SUR, SAN DIMAS CA 91773-4403",Single Family Residence,1099950,1969,5,3,2526,18446,CURRENT
8448-033-026,"1311 CALLE CECILIA, SAN DIMAS CA 91773-4437",Single Family Residence,751892,1985,4,3,2828,9251,CURRENT
8448-033-027,"1305 CALLE CECILIA, SAN DIMAS CA 91773-4437",Single Family Residence,674099,1985,4,3,2419,12000,CURRENT
8448-033-028,"1304 CALLE ROSAMARIA, SAN DIMAS CA 91773-4438",Single Family Residence,945472,1984,3,2,1934,13119,CURRENT
8448-033-029,"1310 CALLE ROSAMARIA, SAN DIMAS CA 91773-4438",Single Family Residence,694404,1984,4,3,2419,11641,CURRENT
8448-033-030,"1316 CALLE ROSAMARIA, SAN DIMAS CA 91773-4438",Single Family Residence,489792,1984,4,3,2958,11161,CURRENT
8448-033-031,"1322 CALLE ROSAMARIA, SAN DIMAS CA 91773-4438",Single Family Residence,424740,1984,3,3,1998,13770,CURRENT
8448-033-032,"1328 CALLE ROSAMARIA, SAN DIMAS CA 91773-4438",Single Family Residence,610247,1984,4,3,2226,12518,CURRENT
8448-033-033,"1334 CALLE ROSAMARIA, SAN DIMAS CA 91773-4438",Single Family Residence,476487,1984,4,3,3049,13114,CURRENT
8448-033-034,"1340 CALLE ROSAMARIA, SAN DIMAS CA 91773-4438",Single Family Residence,1082430,1984,4,3,2419,15861,CURRENT
8448-033-035,"1346 CALLE ROSAMARIA, SAN DIMAS CA 91773-4438",Single Family Residence,869370,1984,4,3,2226,9158,CURRENT
8448-033-036,"1352 CALLE ROSAMARIA, SAN DIMAS CA 91773-4438",Single Family Residence,890207,1984,3,3,1998,9030,CURRENT
8448-033-037,"1358 CALLE ROSAMARIA, SAN DIMAS CA 91773-4438",Single Family Residence,960227,1984,6,4,4800,10359,CURRENT
8448-033-038,"1364 CALLE ROSAMARIA, SAN DIMAS CA 91773-4438",Single Family Residence,514606,1984,4,3,2587,10347,CURRENT
8448-033-039,"1343 CALLE ROSAMARIA, SAN DIMAS CA 91773-4438",Single Family Residence,776000,1984,4,3,2864,11061,CURRENT
8448-033-040,"1337 CALLE ROSAMARIA, SAN DIMAS CA 91773-4438",Single Family Residence,1117159,1984,4,3,2973,13157,CURRENT
8448-033-041,"1993 PASEO GABRIELA, SAN DIMAS CA 91773-4409",Single Family Residence,810126,1984,3,2,1934,9894,CURRENT
8448-033-042,"1987 PASEO GABRIELA, SAN DIMAS CA 91773-4409",Single Family Residence,633784,1984,4,3,2226,8628,CURRENT
8448-033-043,"1981 PASEO GABRIELA, SAN DIMAS CA 91773-4409",Single Family Residence,941381,1984,4,3,2743,9007,CURRENT
