ain,address,useType,assessed,yearBuilt,beds,baths,bldg,lot,taxStatus,latitude,longitude
8464-019-001,"13944 RAGUS ST, VALINDA CA 91746-1628",Single Family Residence,356132,1957,3,2,1306,6167,CURRENT,34.0566011595,-117.973904839
8464-019-002,"13938 RAGUS ST, VALINDA CA 91746-1628",Single Family Residence,210513,1957,3,2,1141,5966,CURRENT,34.0567042095,-117.974056982
8464-019-003,"13932 RAGUS ST, VALINDA CA 91746-1628",Single Family Residence,165071,1957,3,2,1251,6101,CURRENT,34.0568061343,-117.974208013
8464-019-004,"13926 RAGUS ST, LA PUENTE CA 91746-1628",Single Family Residence,737538,1957,3,2,1261,5899,CURRENT,34.0569067002,-117.97435818
8464-019-005,"13920 RAGUS ST, LA PUENTE CA 91746-1628",Single Family Residence,513394,1957,4,2,1312,5957,CURRENT,34.0570061903,-117.974505528
8464-019-006,"13914 RAGUS ST, LA PUENTE CA 91746-1628",Single Family Residence,57454,1957,3,2,1148,6305,CURRENT,34.0571086848,-117.97465747
8464-019-007,"13908 RAGUS ST, LA PUENTE CA 91746-1628",Single Family Residence,349748,1957,4,2,1251,5989,CURRENT,34.0572063863,-117.974819603
8464-019-008,"13902 RAGUS ST, LA PUENTE CA 91746-1628",Single Family Residence,823814,1957,3,2,1525,6713,CURRENT,34.0573332126,-117.974970459
8464-019-009,"13903 RAGUS ST, LA PUENTE CA 91746-1629",Single Family Residence,250808,1957,3,2,1476,6675,CURRENT,34.0576484628,-117.974666117
8464-019-010,"13909 RAGUS ST, LA PUENTE CA 91746-1629",Single Family Residence,171131,1957,4,2,1312,5961,CURRENT,34.0575511312,-117.974483828
8464-019-011,"13915 RAGUS ST, LA PUENTE CA 91746-1629",Single Family Residence,413291,1957,3,2,1141,6267,CURRENT,34.0574386576,-117.974336937
8464-019-012,"13921 RAGUS ST, LA PUENTE CA 91746-1629",Single Family Residence,619108,1957,3,2,1261,5981,CURRENT,34.0573373034,-117.974186895
8464-019-013,"13927 RAGUS ST, LA PUENTE CA 91746-1629",Single Family Residence,326691,1957,4,2,1312,6094,CURRENT,34.0572377822,-117.974040035
8464-019-014,"13933 RAGUS ST, LA PUENTE CA 91746-1629",Single Family Residence,546152,1957,3,2,1251,6291,CURRENT,34.0571363795,-117.973890115
8464-019-015,"13939 RAGUS ST, LA PUENTE CA 91746-1629",Single Family Residence,363389,1957,3,2,1148,6232,CURRENT,34.057034305,-117.973739498
8464-019-016,"13945 RAGUS ST, LA PUENTE CA 91746-1629",Single Family Residence,382877,1957,3,2,1306,6543,CURRENT,34.0569321643,-117.973585284
8464-019-017,"13944 DANCER ST, LA PUENTE CA 91746-1622",Single Family Residence,779349,1957,3,2,1148,6471,CURRENT,34.0571568641,-117.973367631
8464-019-018,"13938 DANCER ST, VALINDA CA 91746-1622",Single Family Residence,72283,1957,3,2,1312,6022,CURRENT,34.0572601524,-117.973522169
8464-019-019,"13932 DANCER ST, VALINDA CA 91746-1622",Single Family Residence,578948,1957,3,2,1141,6150,CURRENT,34.0573609633,-117.973673498
8464-019-020,"13926 DANCER ST, LA PUENTE CA 91746-1622",Single Family Residence,450137,1957,3,2,1148,5955,CURRENT,34.0574614597,-117.973824741
8464-019-021,"13920 DANCER ST, VALINDA CA 91746-1622",Single Family Residence,377602,1957,3,2,1261,5866,CURRENT,34.0575600987,-117.973972941
8464-019-022,"13914 DANCER ST, VALINDA CA 91746-1622",Single Family Residence,769895,1957,4,2,1462,6101,CURRENT,34.0576600709,-117.974123863
8464-019-023,"13908 DANCER ST, LA PUENTE CA 91746-1622",Single Family Residence,58940,1957,3,2,1251,6050,CURRENT,34.0577589236,-117.974285187
8464-019-024,"13902 DANCER ST, LA PUENTE CA 91746-1622",Single Family Residence,624240,1957,3,2,1261,6453,CURRENT,34.057881113,-117.974441763
