ain,address,useType,parcelStatus,taxStatus,yearBuilt,beds,baths,bldg,lot,assessed,land,imp,lastBuyPrice,lastBuyDate,hasForeclosureHist
8448-055-001,"2256 CALLE BELICIA, SAN DIMAS CA 91773-4464",Single Family Residence,ACTIVE,CURRENT,1987,4,3,2646,26245,528047,204986,323061,255002,06/01/1988,false
8448-055-002,"2250 CALLE BELICIA, SAN DIMAS CA 91773-4464",Single Family Residence,ACTIVE,CURRENT,1987,4,3,2590,12701,586399,195017,391382,353000,04/30/1997,false
8448-055-003,"2244 CALLE BELICIA, SAN DIMAS CA 91773-4464",Single Family Residence,ACTIVE,CURRENT,1987,4,3,2830,13532,625404,242079,383325,305000,06/03/1988,false
8448-055-004,"2238 CALLE BELICIA, SAN DIMAS CA 91773-4464",Single Family Residence,ACTIVE,CURRENT,1987,4,3,3287,19165,802556,255839,546717,,,false
8448-055-005,"2239 CALLE BELICIA, SAN DIMAS CA 91773-4464",Single Family Residence,ACTIVE,CURRENT,1987,4,3,3651,21161,910642,578190,332452,1348013,05/07/2021,false
8448-055-006,"2245 CALLE BELICIA, SAN DIMAS CA 91773-4464",Single Family Residence,ACTIVE,CURRENT,1987,4,3,2646,15599,515530,200966,314564,265002,07/08/1988,false
8448-055-007,"2261 CALLE BELICIA, SAN DIMAS CA 91773-4464",Single Family Residence,ACTIVE,CURRENT,1987,4,3,2830,11338,1298915,859666,439249,1200012,10/01/2021,false
8448-055-008,"2267 CALLE BELICIA, SAN DIMAS CA 91773-4464",Single Family Residence,ACTIVE,CURRENT,1987,4,3,2590,16010,743235,333052,410183,,,false
8448-055-009,"222 VIA ARABELLA, SAN DIMAS CA 91773-3988",Single Family Residence,ACTIVE,CURRENT,1987,4,3,2590,11239,791755,370767,420988,618000,03/20/2012,false
8448-055-010,"228 CALLE CONCORDIA, SAN DIMAS CA 91773-3987",Single Family Residence,ACTIVE,CURRENT,1987,4,2,2277,11715,465829,201079,264750,223502,05/23/1988,false
8448-055-011,"244 CALLE CONCORDIA, SAN DIMAS CA 91773-3987",Single Family Residence,ACTIVE,CURRENT,1987,4,3,3265,22530,667454,263555,403899,,,false
8448-055-012,"238 CALLE CONCORDIA, SAN DIMAS CA 91773-3987",Single Family Residence,ACTIVE,CURRENT,1987,4,3,3265,28855,1109935,785211,324724,995009,09/04/2019,false
8448-055-013,"232 CALLE CONCORDIA, SAN DIMAS CA 91773-3987",Single Family Residence,ACTIVE,CURRENT,1987,4,3,2830,14052,1407159,857393,549766,1300013,09/22/2021,false
8448-055-014,"226 CALLE CONCORDIA, SAN DIMAS CA 91773-3987",Single Family Residence,ACTIVE,CURRENT,1987,4,3,3066,16402,775216,312454,462762,,,false
8448-055-015,"220 CALLE CONCORDIA, SAN DIMAS CA 91773-3987",Single Family Residence,ACTIVE,CURRENT,1987,4,3,2830,14795,1109049,744628,364421,956000,12/28/2017,false
8448-055-016,"214 CALLE CONCORDIA, SAN DIMAS CA 91773-3987",Single Family Residence,ACTIVE,CURRENT,1987,4,3,2590,12473,575668,236219,339449,292000,05/03/1988,false
8448-055-017,"208 CALLE CONCORDIA, SAN DIMAS CA 91773-3987",Single Family Residence,ACTIVE,CURRENT,1987,4,2,2277,13797,1114156,739406,374750,960009,11/21/2017,false
8448-055-018,"202 CALLE CONCORDIA, SAN DIMAS CA 91773-3987",Single Family Residence,ACTIVE,CURRENT,1987,4,3,2590,19557,1443241,912319,530922,1360000,07/28/2022,false
8448-055-019,"215 CALLE CONCORDIA, SAN DIMAS CA 91773-3987",Single Family Residence,ACTIVE,CURRENT,1987,4,3,2830,13615,1456559,1203118,253441,380000,02/17/1999,false
8448-055-020,"221 CALLE CONCORDIA, SAN DIMAS CA 91773-3987",Single Family Residence,ACTIVE,CURRENT,1987,4,3,2918,16491,575922,224509,351413,295000,05/18/1988,false
8448-055-021,"227 CALLE CONCORDIA, SAN DIMAS CA 91773-3987",Single Family Residence,ACTIVE,CURRENT,1987,4,3,3265,17883,687435,269411,418024,,,false
8448-055-022,"233 CALLE CONCORDIA, SAN DIMAS CA 91773-3987",Single Family Residence,ACTIVE,CURRENT,1987,4,3,2918,15070,1135016,591657,543359,940000,09/15/2015,false
8448-055-023,"239 CALLE CONCORDIA, SAN DIMAS CA 91773-3987",Single Family Residence,ACTIVE,CURRENT,1987,4,3,2623,15635,1492868,710889,781979,1025000,08/12/2004,false
8448-055-024,"245 CALLE CONCORDIA, SAN DIMAS CA 91773-3987",Single Family Residence,ACTIVE,CURRENT,1987,4,3,2590,18444,1116476,570718,545758,850000,07/01/2008,false
8448-055-025,",",Vacant Land,ACTIVE,CURRENT,,,,,48627,9,9,0,3728537,06/27/1986,false
