"ain","address","useType","taxStatus","lot","land","imp","assessed","yearBuilt","beds","baths","lastBuyPrice","lastBuyDate","hasForeclosure"
"8448-058-001","Vacant Land","Vacant Land","CURRENT","426690","9","0","9",,,,,,"False"
"8448-058-002","306 VIA AMARILLA, SAN DIMAS CA","Single Family Residence","CURRENT","7301","179630","406674","586304","1996",,,"360000","09/29/1997","False"
"8448-058-003","312 VIA AMARILLA, SAN DIMAS CA","Single Family Residence","CURRENT","7198","453450","570154","1023604","1996",,,"835008","03/31/2015","False"
"8448-058-004","318 VIA AMARILLA, SAN DIMAS CA","Single Family Residence","CURRENT","8540","415128","427507","842635","1996",,,"640000","05/07/2010","False"
"8448-058-005","326 VIA AMARILLA, SAN DIMAS CA","Single Family Residence","CURRENT","7173","391157","608414","999571","1996",,,"761000","11/21/2008","False"
"8448-058-006","332 VIA AMARILLA, SAN DIMAS CA","Single Family Residence","CURRENT","13676","461825","627069","1088894","1996",,,"829000","01/27/2009","False"
"8448-058-007","338 VIA AMARILLA, SAN DIMAS CA","Single Family Residence","CURRENT","9088","340480","695697","1036177","1996",,,"1230012","08/29/2014","False"
"8448-058-008","348 VIA AMARILLA, SAN DIMAS CA","Single Family Residence","CURRENT","7794","181389","490333","671722","1996",,,"370000","01/28/1997","False"
"8448-058-009","350 VIA AMARILLA, SAN DIMAS CA","Single Family Residence","CURRENT","7776","348474","612397","960871","1996",,,"750000","11/01/2011","False"
"8448-058-010","356 VIA AMARILLA, SAN DIMAS CA","Single Family Residence","CURRENT","6919","189891","582508","772399","1996",,,"430000","06/12/1998","False"
"8448-058-011","357 VIA AMARILLA, SAN DIMAS CA","Single Family Residence","CURRENT","12516","875389","736477","1611866","1996",,,"1519015","12/08/2022","False"
"8448-058-012","351 VIA AMARILLA, SAN DIMAS CA","Single Family Residence","CURRENT","9510","767760","568707","1336467","1996",,,"940009","01/31/2005","False"
"8448-058-013","345 VIA AMARILLA, SAN DIMAS CA","Single Family Residence","CURRENT","10573","220105","408696","628801","1996",,,"371503","04/02/1997","False"
"8448-058-014","Vacant Land","Vacant Land","CURRENT","18942","9","0","9",,,,,,"False"
"8448-058-015","Vacant Land","Vacant Land","CURRENT","945","9","0","9",,,,,,"False"
"8448-058-016","Vacant Land","Vacant Land","CURRENT","17459","9","0","9",,,,,,"False"
