ain,address,useType,parcelStatus,taxStatus,yearBuilt,beds,baths,bldg,lot,assessed,lastBuyPrice,lastBuyDate,hasForeclosureHist
8448-059-001,",","Vacant Land",DELETED,CURRENT,,,,,,0,,,false
8448-059-002,"203 CALLE ANDREA, SAN DIMAS CA 91773-3992","Single Family Residence",ACTIVE,CURRENT,1998,5,3,3032,10053,879227,700000,01/30/2013,false
8448-059-003,"209 CALLE ANDREA, SAN DIMAS CA 91773-3992","Single Family Residence",ACTIVE,CURRENT,1996,4,2,2008,10721,875412,725007,06/15/2016,false
8448-059-004,"215 CALLE ANDREA AVE, SAN DIMAS CA 91773-0000","Single Family Residence",DELETED,CURRENT,,,,,,0,,,false
8448-059-005,"221 CALLE ANDREA AVE, SAN DIMAS             CA 91773-0000","Single Family Residence",DELETED,CURRENT,,,,,,0,,,false
8448-059-006,"227 CALLE ANDREA AVE, SAN DIMAS CA 91773-0000","Single Family Residence",DELETED,CURRENT,,,,,,0,,,false
8448-059-007,",","Single Family Residence",DELETED,CURRENT,,,,,,0,,,false
8448-059-008,",","Single Family Residence",DELETED,CURRENT,,,,,,0,,,false
8448-059-009,",","Single Family Residence",DELETED,CURRENT,,,,,,0,,,false
8448-059-010,",","Single Family Residence",DELETED,CURRENT,,,,,,0,,,false
8448-059-011,"257 CALLE ANDREA, SAN DIMAS CA 91773-3992","Single Family Residence",ACTIVE,CURRENT,1996,5,3,2956,10536,1324893,1200012,05/27/2021,false
8448-059-012,"263 CALLE ANDREA, SAN DIMAS CA 91773-3992","Single Family Residence",ACTIVE,CURRENT,1996,4,3,2615,10605,1045019,780007,11/21/2007,false
8448-059-013,"267 CALLE ANDREA, SAN DIMAS CA 91773-3992","Single Family Residence",ACTIVE,CURRENT,1996,5,3,2956,10359,547398,,,false
8448-059-014,",","Vacant Land",ACTIVE,CURRENT,,,,,853561,9,,,false
8448-059-015,",","Vacant Land",DELETED,CURRENT,,,,,,0,,,false
8448-059-016,",","Vacant Land",DELETED,CURRENT,,,,,,0,,,false
8448-059-017,",","Vacant Land",DELETED,CURRENT,,,,,,0,,,false
8448-059-018,",","Vacant Land",DELETED,CURRENT,,,,,,0,,,false
8448-059-019,",","Vacant Land",DELETED,CURRENT,,,,,,0,,,false
8448-059-020,",","Vacant Land",DELETED,CURRENT,,,,,,0,,,false
8448-059-021,",","Vacant Land",DELETED,CURRENT,,,,,,0,,,false
8448-059-022,"215 CALLE ANDREA, SAN DIMAS CA 91773-3992","Single Family Residence",ACTIVE,CURRENT,1996,5,3,2956,14648,635004,390000,11/12/1997,false
8448-059-023,"221 CALLE ANDREA, SAN DIMAS CA 91773-3992","Single Family Residence",ACTIVE,CURRENT,1996,4,3,2610,18320,1119545,850008,09/11/2019,false
8448-059-024,"227 CALLE ANDREA, SAN DIMAS CA 91773-3992","Single Family Residence",ACTIVE,CURRENT,1997,5,3,2956,16793,593453,335000,03/05/1997,false
8448-059-025,"233 CALLE ANDREA, SAN DIMAS CA 91773-3992","Single Family Residence",ACTIVE,CURRENT,1996,5,3,2956,14471,556766,327000,04/23/1996,false
8448-059-026,"239 CALLE ANDREA, SAN DIMAS CA 91773-3992","Single Family Residence",ACTIVE,CURRENT,1996,4,3,2615,13470,523030,306000,04/15/1996,false
8448-059-027,"245 CALLE ANDREA, SAN DIMAS CA 91773-3992","Single Family Residence",ACTIVE,CURRENT,1996,4,2,2008,13193,1222404,1152011,04/26/2023,false
8448-059-028,"251 CALLE ANDREA, SAN DIMAS CA 91773-3992","Single Family Residence",ACTIVE,CURRENT,1996,4,3,2615,11775,547856,300000,04/19/1996,false
