ain,address,useType,taxStatus,parcelStatus,yearBuilt,beds,baths,bldg,lot,assessed,lastBuyRec,lastBuyPrice,lastBuyDoc,hasFcHist
8448-011-004,"1989 E RANCHO CULEBRA DR, COVINA CA 91724-3329","Single Family Residence",CURRENT,ACTIVE,1968,4,2,2436,11484,725226,01/02/2001,291000,0001219,false
8448-011-005,"1979 E RANCHO CULEBRA DR, COVINA CA 91724-3329","Single Family Residence",CURRENT,ACTIVE,1968,3,2,2226,11197,1214705,,,,false
8448-011-006,"1971 E RANCHO CULEBRA DR, COVINA CA 91724-3329","Single Family Residence",CURRENT,ACTIVE,1968,4,3,2446,11382,828649,10/20/2016,700007,1290374,true
8448-011-007,"1961 E RANCHO CULEBRA DR, COVINA CA 91724-3329","Single Family Residence",CURRENT,ACTIVE,1968,4,3,2265,11035,153738,,,,false
8448-011-008,"1951 E RANCHO CULEBRA DR, COVINA CA 91724-3329","Single Family Residence",CURRENT,ACTIVE,1968,4,2,1988,11401,771784,02/06/2018,665006,0121890,false
8448-011-009,"1937 E RANCHO CULEBRA DR, COVINA CA 91724-3329","Single Family Residence",CURRENT,ACTIVE,1968,4,3,2557,22975,475392,04/30/1997,240000,0655289,true
8448-011-010,"1924 E RANCHO CULEBRA DR, COVINA CA 91724-3328","Single Family Residence",CURRENT,ACTIVE,1968,4,3,2644,28540,524552,09/20/1996,300000,1553627,false
8448-011-011,"1936 E RANCHO CULEBRA DR, COVINA CA 91724-3328","Single Family Residence",CURRENT,ACTIVE,1968,4,3,2509,12393,742063,06/07/2013,591005,0858885,false
8448-011-012,"1946 E RANCHO CULEBRA DR, COVINA CA 91724-3328","Single Family Residence",CURRENT,ACTIVE,1968,4,3,2265,11062,1118429,09/15/2023,1075010,0615307,false
8448-011-013,"1956 E RANCHO CULEBRA DR, COVINA CA 91724-3328","Single Family Residence",CURRENT,ACTIVE,1968,4,3,2265,10846,472797,06/09/1988,227002,0918709,false
8448-011-014,"1966 E RANCHO CULEBRA DR, COVINA CA 91724-3328","Single Family Residence",CURRENT,ACTIVE,1968,4,3,2509,10937,896948,04/13/2005,625006,0852027,false
8448-011-015,"1978 E RANCHO CULEBRA DR, COVINA CA 91724-3328","Single Family Residence",CURRENT,ACTIVE,1968,3,2,2098,10828,682023,04/03/2013,543005,0497047,false
8448-011-016,"1988 E RANCHO CULEBRA DR, COVINA CA 91724-3328","Single Family Residence",CURRENT,ACTIVE,1968,4,3,2455,11042,646856,03/27/2013,515005,0458879,true
8448-011-017,"469 RANCHO LOS NOGALES DR, COVINA CA 91724-3348","Single Family Residence",CURRENT,ACTIVE,1968,4,2,2340,20928,559587,09/03/1999,325003,1680162,false
8448-011-018,"1968 E RANCHO GRANDE DR, COVINA CA 91724-3340","Single Family Residence",CURRENT,ACTIVE,1975,4,3,2760,22794,1243574,06/01/2007,910009,1326863,false
8448-011-019,"1954 E RANCHO GRANDE DR, COVINA CA 91724-3340","Single Family Residence",CURRENT,ACTIVE,1969,3,2,2226,21754,738629,05/09/2003,500005,1326197,false
8448-011-020,"1940 E RANCHO GRANDE DR, COVINA CA 91724-3340","Single Family Residence",CURRENT,ACTIVE,1969,5,3,2723,21299,467407,03/11/1998,287000,0399763,true
